source_db_id;source_schema_name;source_table_name;target_db_id;target_schema_name;target_table_name;source_insert_id_colname;source_last_updated_on_colname;is_static_support_table;can_insert_rows;can_update_rows;can_delete_rows;update_target_table_algorithm_id;update_target_table;compare_target_table;mark_rows_for_deletion_algorithm_id;delete_marked_rows_algorithm_id;mark_rows_for_deletion;delete_marked_rows;row_can_be_deleted_from_seconds;can_delete_row_schema_name;can_delete_row_table_name;delete_marked_rows_table_order;source_db_etl_state_register_schema_name;source_db_etl_state_register_table_name
2;public;control_sites;10;public;obo__control_sites;control_site_id;last_updated_on;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;cop_emissions_code;10;public;obo__cop_emissions_code;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;country;10;public;obo__country;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;cso_reference_type;10;public;obo__cso_reference_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;da_event_type;10;public;obo__da_event_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;da_mqapi_error_details;10;public;obo__da_mqapi_error_details;ared_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;da_mqapi_req_type;10;public;obo__da_mqapi_req_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;da_mqapi_tracking;10;public;obo__da_mqapi_tracking;request_tracking_id;request_completed_timestamp;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;dadd_restreq_tracking;10;public;obo__dadd_restreq_tracking;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;dadd_restreq_type;10;public;obo__dadd_restreq_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;dadd_restres_error_details;10;public;obo__dadd_restres_error_details;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;dadd_restres_subcode;10;public;obo__dadd_restres_subcode;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;data_aggregator_processing_statistics;10;public;obo__data_aggregator_processing_statistics;daps_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;data_authorities;10;public;obo__data_authorities;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;data_restreq_tracking;10;public;obo__data_restreq_tracking;request_tracking_id;request_completed_timestamp;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;data_restreq_type;10;public;obo__data_restreq_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;data_restres_error_details;10;public;obo__data_restres_error_details;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;data_restres_subcode;10;public;obo__data_restres_subcode;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;data_signing_key_register;10;public;obo__data_signing_key_register;key_reference_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;database_patch_log;10;public;obo__database_patch_log;database_patch_log_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;datamodel_type;10;public;obo__datamodel_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;datamodel_version_tracking;10;public;obo__datamodel_version_tracking;dmvt_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;datamodels;10;public;obo__datamodels;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;db_object_size_statistics;10;public;obo__db_object_size_statistics;doss_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;db_size_statistics;10;public;obo__db_size_statistics;dss_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;dsrc_data_actionlist_matches;10;public;obo__dsrc_data_actionlist_matches;dsrcdalm_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;dsrc_data_authenticator;10;public;obo__dsrc_data_authenticator;dda_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;dsrc_data_receipt;10;public;obo__dsrc_data_receipt;ddr_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;dsrc_data_vehicle;10;public;obo__dsrc_data_vehicle;ddv_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;dsrc_mmi_codes;10;public;obo__dsrc_mmi_codes;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;dsrc_raw_xml;10;public;obo__dsrc_raw_xml;dsrcrxml_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;duplicate_type;10;public;obo__duplicate_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;enforcement_watch_list;10;public;obo__enforcement_watch_list;record_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;engineering_data;10;public;obo__engineering_data;engineering_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;engineering_data_links;10;public;obo__engineering_data_links;engineering_data_link_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;engineering_data_type;10;public;obo__engineering_data_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;euro_class_group;10;public;obo__euro_class_group;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;euro_emissions_class;10;public;obo__euro_emissions_class;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;exemption_list;10;public;obo__exemption_list;record_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;file;10;public;obo__file;file_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
